PRODUCT,UF,MODEL,PARAMETERS,CLASS,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60
etanolhidratado,ro,XGB,Wind12_TsCesium,Regressor,0.255758402,62.71186441,8.111308858,"0.4488, 0.7744, 0.4912, 0.7343, 0.6777",0.172880829,1400.335992,1461.744284,1453.44771,1451.367471,1189.059972,1357.12634,1426.340706,1425.989136,1421.260483,1229.683433,1330.189576,1230.175748,993.857563,948.372745,819.762261,877.118196,830.777734,779.188097,803.874314,932.84235,833.047361,836.074164,796.54367,963.184768,937.056535,934.930207,813.496983,779.716623,781.462967,816.154836,957.838226,871.240567,793.552155,851.18925,869.338604,974.655571,993.857563,948.372745,819.762261,877.118196,830.777734,779.188097,803.874314,932.84235,833.047361,836.074164,796.54367,963.184768,937.056535,934.930207,813.496983,779.716623,781.462967,816.154836,957.838226,871.240567,793.552155,851.18925,869.338604,974.655571
etanolhidratado,rr,RF,Wind24_TsFeatures,Regressor,0.269508355,45.76271186,13.60476663,"0.6802, 1.0121, 0.5359, 1.2889, 0.4552",0.275736775,100.981309,99.64967,122.232465,124.645156,124.739204,127.521735,124.659959,124.631766,121.897698,120.631967,119.490799,123.994045,153.91027,158.93551,155.01518,153.111769,159.469787,154.116723,147.077801,152.101118,153.757057,153.830615,153.830615,147.479933,154.142985,159.814186,156.471354,155.267813,157.908107,156.471354,157.036766,163.739266,163.848711,165.698984,163.739266,159.156969,168.273541,167.725219,164.377966,163.865707,163.865707,163.199879,164.091015,163.865707,163.865707,161.621281,163.021201,162.589693,251.032483,259.383751,260.668673,260.668673,260.668673,259.265473,260.550396,260.550396,260.550396,260.550396,256.771656,255.482144
etanolhidratado,rs,RF,Wind12_TsCesium,Regressor,0.21784553,49.15254237,16.26790913,"0.3341, 0.4897, 0.3697, 0.9083, 1.0812",0.089162149,4604.26469,4132.009257,4133.810409,4502.489722,4080.608606,4079.707096,4130.75107,4138.460033,4147.783097,4127.366807,4130.944262,4601.971249,3387.051702,2663.017775,2607.563697,3382.426547,3213.294176,3208.258649,3193.134929,2558.071677,2533.00774,3119.635767,2520.488614,2555.7534,2674.498464,2698.097997,2699.715638,2716.937715,2423.685544,2722.542556,2522.480381,2416.74574,2415.888409,2700.273541,2505.369303,2703.377159,3207.870551,2653.107392,2606.098669,3068.938165,3118.857754,3069.374142,3068.938165,3101.77071,3271.663459,3062.580054,3222.735047,2617.826564,2670.980039,2682.600775,2683.678423,2721.190377,2484.626687,2737.612486,2462.88373,2482.042153,2485.755871,2708.097718,2442.397937,2690.631163
etanolhidratado,sc,RF,Wind12_TsCesium,Regressor,0.26505397,64.40677966,14.83885317,"0.5439, 1.1131, 0.2574, 1.9334, 1.0269",0.216469814,7635.648545,7059.89053,7065.104736,7060.999945,7078.817029,7031.079543,7592.01325,7647.520231,6142.087957,7012.976667,5946.900801,6996.277005,5892.17615,5896.012696,7086.459754,6511.845627,6106.402314,6518.688748,6119.943061,7136.933086,6109.551238,6104.653425,6073.319865,6132.09969,4816.657119,4583.57717,4808.76371,4583.052406,4848.011105,4569.445195,4153.918968,4197.243913,4124.136575,4161.671003,4212.924869,4819.994236,5803.586807,5794.285083,6562.421625,6199.797598,5908.333847,5790.103832,6746.909572,6524.858683,6615.369063,6533.416613,6169.132701,5692.277783,4970.963258,4492.106559,5039.701108,4114.900181,4112.978562,4526.694004,5032.597868,4844.5594,4046.841176,4751.936948,4945.461306,4836.893825
etanolhidratado,se,LagLlama,Exp24,LLM,0.302087335,54.23728814,11.76452298,"1.1131, 0.8864, 0.3186, 1.9801, 0.4966",0.44078077,4404.881348,3705.512695,3030.465332,3336,3682.891113,3846.912842,3736.797607,3698.46167,3674.966064,4125.940918,4100.247559,3851.766602,4851.848633,4475.966309,3735.71167,3405.040283,3138.677002,3457.253906,3847.532959,4128.546387,3814.825928,3498.874023,3153.072266,2374.926025,4233.253418,3306.389404,2770.895752,2352.106201,2076.825439,2092.481445,2082.55542,2358.978027,2583.704102,2762.487793,2739.923584,2354.831299,2193.763184,1792.850708,1852.676025,1830.697266,1801.514893,1600.165649,1583.160278,1471.77417,1489.705322,1643.230713,2093.304443,1836.000366,2606.802734,2512.629883,2453.593018,2383.820313,2166.937744,2236.962646,2480.114258,2962.967041,2996.737305,3242.488037,3127.797119,2823.232666
etanolhidratado,sp,RF,Wind12_TsCesium,Regressor,0.120915181,44.06779661,-3.920884532,"0.4045, 0.5690, 0.3325, 2.3077, 0.8634",0.228006568,998615.8857,978539.474,982065.7486,980744.3864,971314.5408,969898.6602,983288.6546,978823.788,982213.2969,983334.7913,980150.1946,977846.312,836511.7508,865250.8199,843866.6868,851268.9579,851337.1114,874320.2077,847719.3435,841393.0898,844846.6874,841396.5207,835854.1727,843726.9121,690407.2544,691494.1389,694754.7006,659328.222,658590.9219,673778.7814,671312.1941,662038.8495,671858.1863,666777.6425,652512.5488,679914.313,787770.6695,825342.9877,852835.4193,857918.7608,829984.2841,827676.1128,804613.0655,804201.0915,854988.8513,801757.6554,790233.051,788620.7672,672317.7943,672242.054,677578.4052,663862.045,666952.6741,662697.2015,683651.8285,663687.6044,679908.1352,663139.9473,668879.4395,688161.4717
etanolhidratado,to,XGB,Wind36_TsFeatures,Regressor,0.228493389,23.72881356,12.97690886,"0.5525, 1.7560, 0.3369, 1.2528, 0.7408",0.366145,2546.310791,2567.114014,2567.114014,2630.364258,2717.70874,2630.709717,2752.847168,2752.847168,2567.459717,2564.394287,2602.985352,2591.096436,2359.243896,2359.243896,2448.083496,2359.243896,2448.295898,2453.236328,2450.955322,2405.17749,2416.258057,2416.258057,2416.258057,2409.218506,2454.074707,2454.074707,2470.672119,2470.672119,2470.919434,2470.919434,2470.672119,2470.919434,2207.158203,2163.373047,2476.915527,2426.183594,2207.169189,2207.169189,2207.169189,2207.169189,2207.169189,2071.231445,2076.482422,2151.847656,2151.847656,2160.332275,2323.593994,2323.593994,2236.887695,2356.261475,2356.261475,2348.021973,2356.261475,2342.908203,2334.668701,2342.583496,2339.867188,2339.867188,2339.867188,2336.437256
gasolinac,ac,LagLlama,Exp25,LLM,0.057793172,79.66101695,-0.50648792,"0.6273, 1.0826, 0.5497, 0.5159, 0.6601",0.139866813,11250.04297,11767.89648,11709.66504,10716.21973,11914.0332,12540.69336,11743.69043,12178.33887,10796.77539,12297.95508,10796.17871,9535.308594,11810.02344,11878.14941,11862.35547,11063.41113,12077.37012,12092.93457,12014.12207,12395.20117,11137.36621,13074.02734,10901.0293,10222.42871,10255.62402,9810.283203,9424.96582,10092.16895,11994.41211,12199.1377,12060.25781,12226.49121,11346.63574,13109.65039,10611.76172,9984.889648,12887.02441,11980.38965,12138.05762,12054.30957,12618.36719,13641.63477,13464.37402,13168.70117,12915.79102,14914.63477,12461.26074,11862.51367,12526.31543,11825.27539,13411.93652,12581.60938,13417.40039,14635.72461,14029.76465,13937.99121,13803.09082,14313.82129,12482.75488,12451.97754
gasolinac,al,LagLlama,Exp20,LLM,0.071894638,67.79661017,2.083109222,"0.5476, 1.1524, 0.7600, 0.7336, 0.7330",0.153719562,35411.57031,35899.82813,35615.76563,34155.00781,34068.53516,35472.21484,33802.07813,36817.51172,35859.06641,40702.17578,39144.85547,33466.04688,36713.64063,37501.30078,35570.20703,33566.10938,34765.90625,34369.48828,34224.91797,34925.34766,33334.25391,37144.1875,33975.55859,31490.15039,36047.19922,35014.46094,33026.67969,31745.98242,34930.1875,35683.12891,36478.49219,37874.50781,37405.69922,43176.74609,40208.10156,37490.65625,39105.55859,38924.25781,38280.78125,36780.87109,38031.41016,38586.21484,40269.76172,40373.01172,40522.34375,44962.19141,43614.73047,38670.51172,38889.625,37084.58594,38422.44922,37607.61719,38439.91797,39779.50781,39995.42969,40572.58203,39261.89844,43869.67969,42235.18359,38706.71094
gasolinac,am,Prophet,Wind12_RawData,Regressor,0.080012278,72.88135593,-2.191039922,"0.6420, 1.0594, 0.4173, 0.8614, 0.4195",0.162591718,54731.50109,53782.19445,55335.19199,54678.37286,55652.7508,57955.16862,56536.57884,57918.66446,54578.84733,58344.91395,50336.34794,48936.48783,52801.05258,52167.4383,53027.75153,52690.89316,53265.99358,54727.61248,53775.81622,54614.03391,52604.90065,54967.13685,50218.25457,49443.82752,54678.96016,53998.37204,55103.62274,54326.38282,55115.44443,57063.28572,55784.70016,56842.71245,54380.76898,57304.59385,51367.94049,50124.34247,51669.77835,49193.32363,52946.85545,51177.74092,54064.18247,59753.59988,55919.39544,59064.08232,51565.51253,60301.03217,42138.61972,38794.00759,52464.38272,51557.59447,52940.88811,52312.18031,53406.80528,55508.5624,54066.95605,55272.27301,52404.04792,55751.23906,48848.39703,47742.80964
