PRODUCT,UF,MODEL,PARAMETERS,CLASS,MAPE,POCID,PBE,MASE20,MASE21,MASE22,MASE23,MASE24,RRMSE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60
etanolhidratado,ro,RF,Wind12_TsCesium,Regressor,0.288537775,50.84745763,1.942648171,0.5317,0.6605,0.4424,1.0711,0.6411,0.167475521,1335.486233,1345.255325,1338.104258,1328.029456,1318.806481,1322.209848,1321.124155,1299.157719,1313.196607,1300.720002,1295.138495,1312.156362,1034.118273,1002.016851,932.891065,920.416007,1011.816937,919.254628,1023.445823,1022.456235,1002.277916,1020.229149,926.969883,1020.012031,956.241828,939.507381,903.028278,977.350285,881.435156,879.664254,977.350285,892.586872,941.208129,909.552116,919.923018,932.504053,994.897085,989.071911,950.834227,937.453934,994.002015,932.189273,978.305914,983.201533,954.231187,989.640698,934.569019,987.760378,950.284474,961.766397,919.625091,1000.973542,918.43253,917.897048,996.638717,919.539524,977.582212,975.972295,918.689526,999.524455
etanolhidratado,rr,RF,Wind24_TsFeatures,Regressor,0.269508355,45.76271186,13.60476663,0.6802,1.0121,0.5359,1.2889,0.4552,0.275736775,100.981309,99.64967,122.232465,124.645156,124.739204,127.521735,124.659959,124.631766,121.897698,120.631967,119.490799,123.994045,153.91027,158.93551,155.01518,153.111769,159.469787,154.116723,147.077801,152.101118,153.757057,153.830615,153.830615,147.479933,154.142985,159.814186,156.471354,155.267813,157.908107,156.471354,157.036766,163.739266,163.848711,165.698984,163.739266,159.156969,168.273541,167.725219,164.377966,163.865707,163.865707,163.199879,164.091015,163.865707,163.865707,161.621281,163.021201,162.589693,251.032483,259.383751,260.668673,260.668673,260.668673,259.265473,260.550396,260.550396,260.550396,260.550396,256.771656,255.482144
etanolhidratado,rs,TimeGPT,TimeGPT_depth1,LLM,0.358017153,57.62711864,8.536703753,0.8012,0.8259,1.7262,1.9468,0.6738,0.078938692,3241.767,2760.5356,2934.3542,3219.9836,3036.7769,2968.2244,2979.11,2859.7253,2847.963,3147.137,3063.1882,2800.1357,1710.0332,1311.6945,1493.7032,1767.3276,1950.4971,1820.6719,1679.4062,1641.963,1525.4641,1821.1487,1854.9984,1767.3021,3788.428,3622.4082,3771.1492,3726.861,3955.4111,3981.0781,3807.2498,3986.998,3843.3076,4312.755,4108.173,3956.563,3257.4985,3350.6372,3507.1187,3590.7131,3599.1736,3595.3496,3635.4294,3768.678,3764.8228,3797.882,3583.2617,3076.645,4054.3599,4086.4375,4454.574,4877.4263,4672.883,5025.284,5047.917,5061.9146,4951.12,4866.1763,4586.489,4012.9392
etanolhidratado,sc,LagLlama-GLOBAL,Custom,LLM,0.29091,62.71186,-7.35202,0.5526,2.9456,0.2859,2.2563,0.5233,0.16674,6550.6943,6392.391,5693.478,6438.056,7207.558,7339.8467,7873.2285,7916.0767,7258.9546,7425.1836,6655.834,5575.103,5444.622,5033.0664,5546.655,6487.7686,7786.7017,9012.326,10191.518,11528.626,12281.133,13185.227,12511.32,12079.579,7068.511,6598.9224,5765.458,5486.4043,4995.275,4804.1123,4912.975,4485.83,4254.0044,4729.5977,4341.115,4060.7075,5171.959,5172.778,4950.1274,5513.39,5373.9717,4992.7427,5344.2764,5663.619,6494.7856,8624.925,9978.409,7789.5215,6441.7075,6349.915,6983.8086,7164.87,7728.391,8759.705,9783.198,9368.35,10280.483,10529.943,10337.81,9786.296
etanolhidratado,se,LagLlama-GLOBAL,Parm9,LLM,0.26416,67.79661,-7.96347,0.8381,0.1928,0.5761,1.7299,0.4376,0.32193,4781.481,4182.7046,3847.9639,3945.452,4352.5405,4303.873,4949.1333,4827.5513,5288.4263,6271.609,5618.1455,5240.6675,3431.3179,1989.0281,1641.7643,1905.5604,2069.6736,2559.8958,3044.853,3507.0798,3545.6072,4963.9775,4381.675,4198.3433,4959.151,3653.564,3170.5454,2568.566,2525.7073,2418.0244,2691.2197,3282.8428,4144.88,4574.197,4302.406,3674.2498,6204.258,4204.06,3038.842,2972.5142,3016.1328,2599.5867,2522.5615,2642.0806,3329.563,3498.2861,4111.152,4342.1807,2483.4421,2455.8767,2211.0767,1983.6007,2139.1094,2529.5154,2913.0056,3274.406,3262.8499,3794.9673,3507.4631,3022.086
etanolhidratado,sp,RF,Wind12_TsCesium,Regressor,0.120915181,44.06779661,-3.920884532,0.4045,0.569,0.3325,2.3077,0.8634,0.228006568,998615.8857,978539.474,982065.7486,980744.3864,971314.5408,969898.6602,983288.6546,978823.788,982213.2969,983334.7913,980150.1946,977846.312,836511.7508,865250.8199,843866.6868,851268.9579,851337.1114,874320.2077,847719.3435,841393.0898,844846.6874,841396.5207,835854.1727,843726.9121,690407.2544,691494.1389,694754.7006,659328.222,658590.9219,673778.7814,671312.1941,662038.8495,671858.1863,666777.6425,652512.5488,679914.313,787770.6695,825342.9877,852835.4193,857918.7608,829984.2841,827676.1128,804613.0655,804201.0915,854988.8513,801757.6554,790233.051,788620.7672,672317.7943,672242.054,677578.4052,663862.045,666952.6741,662697.2015,683651.8285,663687.6044,679908.1352,663139.9473,668879.4395,688161.4717
etanolhidratado,to,XGB,Wind36_TsFeatures,Regressor,0.228493389,23.72881356,12.97690886,0.5525,1.756,0.3369,1.2528,0.7408,0.366145,2546.310791,2567.114014,2567.114014,2630.364258,2717.70874,2630.709717,2752.847168,2752.847168,2567.459717,2564.394287,2602.985352,2591.096436,2359.243896,2359.243896,2448.083496,2359.243896,2448.295898,2453.236328,2450.955322,2405.17749,2416.258057,2416.258057,2416.258057,2409.218506,2454.074707,2454.074707,2470.672119,2470.672119,2470.919434,2470.919434,2470.672119,2470.919434,2207.158203,2163.373047,2476.915527,2426.183594,2207.169189,2207.169189,2207.169189,2207.169189,2207.169189,2071.231445,2076.482422,2151.847656,2151.847656,2160.332275,2323.593994,2323.593994,2236.887695,2356.261475,2356.261475,2348.021973,2356.261475,2342.908203,2334.668701,2342.583496,2339.867188,2339.867188,2339.867188,2336.437256
gasolinac,ac,LagLlama,Exp25,LLM,0.057793172,79.66101695,-0.50648792,0.6273,1.0826,0.5497,0.5159,0.6601,0.139866813,11250.04297,11767.89648,11709.66504,10716.21973,11914.0332,12540.69336,11743.69043,12178.33887,10796.77539,12297.95508,10796.17871,9535.308594,11810.02344,11878.14941,11862.35547,11063.41113,12077.37012,12092.93457,12014.12207,12395.20117,11137.36621,13074.02734,10901.0293,10222.42871,10255.62402,9810.283203,9424.96582,10092.16895,11994.41211,12199.1377,12060.25781,12226.49121,11346.63574,13109.65039,10611.76172,9984.889648,12887.02441,11980.38965,12138.05762,12054.30957,12618.36719,13641.63477,13464.37402,13168.70117,12915.79102,14914.63477,12461.26074,11862.51367,12526.31543,11825.27539,13411.93652,12581.60938,13417.40039,14635.72461,14029.76465,13937.99121,13803.09082,14313.82129,12482.75488,12451.97754
gasolinac,al,LagLlama,Exp20,LLM,0.071894638,67.79661017,2.083109222,0.5476,1.1524,0.76,0.7336,0.733,0.153719562,35411.57031,35899.82813,35615.76563,34155.00781,34068.53516,35472.21484,33802.07813,36817.51172,35859.06641,40702.17578,39144.85547,33466.04688,36713.64063,37501.30078,35570.20703,33566.10938,34765.90625,34369.48828,34224.91797,34925.34766,33334.25391,37144.1875,33975.55859,31490.15039,36047.19922,35014.46094,33026.67969,31745.98242,34930.1875,35683.12891,36478.49219,37874.50781,37405.69922,43176.74609,40208.10156,37490.65625,39105.55859,38924.25781,38280.78125,36780.87109,38031.41016,38586.21484,40269.76172,40373.01172,40522.34375,44962.19141,43614.73047,38670.51172,38889.625,37084.58594,38422.44922,37607.61719,38439.91797,39779.50781,39995.42969,40572.58203,39261.89844,43869.67969,42235.18359,38706.71094
gasolinac,am,Prophet,Wind36_Catch22,Regressor,0.080917357,76.27118644,-3.040445145,0.5154,1.0261,0.4037,0.8485,0.6003,0.157188544,53458.07201,53181.10932,54250.10606,53355.33318,54041.05319,55579.08374,54790.29746,55507.64879,53083.49783,56067.31963,49991.70389,48109.21877,52268.89001,51263.82555,51619.36978,52702.40615,53070.26475,54598.55817,53393.64551,55190.20592,52636.79334,55734.42492,50426.44862,49558.77079,53622.35032,54052.84437,53703.53995,53422.99577,55362.31398,57502.73167,56528.92796,56536.34848,53911.42875,56960.2423,51433.08782,50555.82243,54633.13943,53109.77305,54979.83949,55203.35225,57588.93826,60787.38601,58244.40768,60121.66354,54693.86942,60822.2038,48462.46881,46769.3006,54130.01254,52409.25341,54009.56764,53039.85801,55323.9506,58746.18415,56777.91776,57817.24352,52075.82064,57373.60663,46267.33869,43854.42453
